,class,document,feature
105,ALZ,ALZ193,eeg computed tomography investigation patients senile dementia fifty six patients senile dementia alzheimer type normal elderly people examined eeg computed tomography discriminant function analysis computed tomography indexes highest discriminant function coefficient width third ventricle using computed tomography groups correctly classified subjects discriminant function analysis eeg variables highest discriminant function coefficient dominant occipital rhythm groups correctly classified subjects discriminant function analysis width third ventricle index cortical atrophy dominant occipital rhythm age sex width third ventricle highest discriminant function coefficient groups correctly classified subjects
106,ALZ,ALZ194,limbic predilection alzheimer dementia reactivated herpesvirus involved brains patients senile dementia alzheimer type sdat quantitatively pathognomonic neuronal lesions tangles plaques granulovacuolar degeneration hirano bodies nerve cell loss predisposed occur especially within limbic system anatomical physiological studies indicate fibres trigeminal ganglia innervate meninges vessels within middle anterior cranial fossae especially subfrontal mesial temporal regions preferentially afflicted acute herpes encephalitis limbic regions critical normal memory processing recall explantation cocultivation techniques recently demonstrated herpes simplex virus many humans trigeminal ganglia also reveal life long lymphocytic infiltration absence pathological changes sensory neurones lymphocytes may represent histological marker latent herpes virus reactivating well established ganglionic source recurrent herpes labialis suggested reactivation dormant viral material travelling centripetally instead might cause degenerative lesions typical alzheimers disease normal aged human brain
107,ALZ,ALZ195,volumetric measurements cerebrospinal fluid spaces demented subjects controls forty seven subjects years age demented normal studied computed tomography volumetric indices ventricular v sulcal size determined pixel counts without knowledge clinical status v controls demented subjects controls demented subjects case differences two groups significant p less subsample scans analyzed using linear volumetric measurements linear measurements showed less pronounced differences demented subjects controls findings explain conflicting results different investigators concerning variations ventricular sulcal size dementia normal aging
108,ALZ,ALZ196,dementia elderly silent epidemic graying america accompanied epidemic major proportions dementia intellectual impairment impact aspects helath care system particularly institutional component long term care system health professionals federal state local health planners families others must recognize many ameliorable curable physical emotional diseases elderly associated intellectual impairment may difficult distinguish irreversible brain disease alzheimer type present information cause physiopathologic mechanism clinical presentation appropriate laboratory studies anticipated outcomes various forms intellectual impairment found elderly important new developments occur next decade address cause pathogenesis refinement laboratory investigation specific therapeutic intervention dementia
109,ALZ,ALZ197,cerebral histiocytic lymphoma presenting loss weight adult man presented loss weight progressed several months appearance signs neurologic disease autopsy showed histiocytic lymphoma extensive meningeal spread dense infiltration hypothalamus diencephalic syndrome reported cerebral tumor leukemia encephalitis lethargica multiple sclerosis alzheimer disease ct brain examination csf may helpful diagnosis
110,ALZ,ALZ198,cerebrospinal fluid specific proteins various degenerative neurological diseases cerebrospinal fluid csf patients suffering various degenerative neurological diseases fractionated csf specific antigenically serum like proteins using affinity chromatography antihuman serum antibodies samples isoelectric focused protein patterns compared similarly treated csf young normal volunteers age matched controls several changes described pathological patterns csf specific fraction could identified one pattern characteristic alzheimers dementia ad senile dementia alzheimer type sdat also seen diseases pattern seen several investigated groups prominent huntingtons chorea
111,ALZ,ALZ199,progression rate age onset related autosomal dominant neurologic diseases found rate progression two adult hereditary neurologic disorders dominant ataxia huntington disease correlated inversely age onset earlier onset rapid course later onset slower course alzheimer diseasesenile dementia followed similar pattern rate progression nonhereditary progressive neurologic disorder als showed opposite trend
112,ALZ,ALZ2,reduced somatostatin like immunoreactivity cerebral cortex cases alzheimer disease alzheimer senile dementa alzheimers disease senile dementia alzheimer type adsdat progressive dementias characterized neuropathologically presence cerebral cortex numerous neurofibrillary tangles neuritic plaques use abbreviation adsdat denote cases irrespective age onset studies neurotransmitter related parameters autopsied brain tissues patients adsdat date confined five putative transmitter systems acetycholine releasing neurones seem markedly consistently affected judged extensive reductions choline acetyltransferase chat acetylcholinesterase activities reported despite numerous studies consistent evidence involvement neurones releasing dopamine noradrenaline serotonin gamma aminobutyric acid adsdat loss muscarinic cholinergic receptors thus involvement cholinergic neurones adsdat seems specific however possible involvement neurones using chemicals transmitters yet explored recent recognition existence called peptidergic neurones mammalian brain review see ref availability radioimmunoassay ria techniques studying peptides led us begin systematic investigation neuropeptides autopsied brain tissue cases adsdat neurologically normal individuals report results obtained ria somatostatin showing somatostatin like immunoreactivity cerebral cortex reduced tissue adsdat patients
113,ALZ,ALZ20,decreased computerized tomography numbers patients presenile dementia detection patients otherwise normal scans patients show clinical signs dementia possible alzheimers disease often ocmputerized tomographic ct scans appear normal study examined mean ct number within pixel sample white matter centrum semiovale slice slice sizes ranged pixels without contrast enhancement ct numbers higher six nondementia cases ct numbers abovethan dementia cases ct numbers non overlap mean ct numbers two groups observed independent presence absence prominent sulci similar low ct numbers observed seven patients senile dementia differential diagnosis dementia depression may better aided studying ct numbers rather presence prominent sulci
114,ALZ,ALZ200,relationship senile plaques cerebral blood vessels alzheimers disease senile dementia morphological mechanism senile plaque production several kinds senile plaque found brains patients alzheimers disease patients senile dementia examined serial sections light electron microscopy results obtained follows senile plaques contained least amyloid fibrils seemed produced basement membranes capillary endothelial cells projected surrounding parenchyma even senile plaques appeared lack amyloid fibrils light microscopy least one degenerable capillary containing amyloid fibrils demonstrable serial sections examined ultrastructurally findings described suggest amyloid fibrils form cores several kinds senile plaque seem produced basement membrane endothelial cell speculated capillary degeneration formation amyloid fibrils may primary change genesis senile plaques
115,ALZ,ALZ201,cholinergic hypothesis geriatric memory dysfunction biochemical electrophysiological pharmacological evidence supporting role cholinergic dysfunction age related memory disturbances critically reviewed attempt made identify pseudoissues resolve certain controversies clarify misconceptions occurred literature significant cholinergic dysfunctions occur aged demented central nervous system relationships changes loss memory exist similar memory deficits artificially induced blocking cholinergic mechanisms young subjects certain tightly controlled conditions reliable memory improvements aged subjects achieved cholinergic stimulation conventional attempts reduce memory impairments clinical trials hav therapeutically successful however possible explanations disappointments given directions future laboratory clinical studies suggested
116,ALZ,ALZ202,cck receptors human neurological disease cholecystokinin cck receptor binding measured postmortem brain tissue patients alzheimers dementia huntingtons chorea neurologically healthy matched controls cck binding significantly reduced inthe basal ganglia cerebral cortex huntingtons patients normal temporal cingulate cortex patients alzheimers disease findings indicate cck receptor loss unique specific neurodegenerative diseases cck may involved symptoms huntingtons disease implicated neuropathology alzheimers dementia
117,ALZ,ALZ203,age onset picks alzheimers dementia implications diagnosis research ages onset illness cases picks cases alzheimers dementia two series unselected cases presented analyzed frequency picks disease peaks sixth decade life decreases whereas alzheimers dementia increases steadily adult life least age years picks disorders reliably separated alzheimers dementia except autopsy comprise significant proportion dementias neuropathological diagnoses essential research dementing illnesses
118,ALZ,ALZ204,immunological parameters aged alzheimers disease peripheral blood patients alzheimers disease elderly normal subjects young normal subjects examined respect leucocyte phenotypes proliferative responses lectins whole blood cell analysis showed neutrophil count similar three groups however lymphocyte count depressed alzheimer group monocyte count reduced healthy aged reduced alzheimer group analysis peripheral blood mononuclear cells showed change proportion e cells total determined monoclonal antibody ucht similar okt cell subsets active e dot discrete esterase staining however proportion cells bearing antigen detected ucht monoclonal antibody similar leu okt reduced healthy aged reduced alzheimer group proliferative responses pha con pa pwm similarly depressed aged alzheimer groups
119,ALZ,ALZ205,lysine vasopressin alzheimer disease effects lysine vasopressin memory cognitive deficits alzheimer disease investigated double blind study seven patients given units lysine vasopressin per day days compared seven different patients receiving placebo significant difference performance vasopressin placebo treated groups found tests designed evaluate learning memory perception however significantly greater improvement reaction time seen vasopressin treated group although effect delayed may contributed factors drug activity
120,ALZ,ALZ206,alzheimers disease senile dementia alzheimer type neuropsychological study neuropsychological performance investigated presenile patients alzheimers disease patients senile dementia alzheimer type using lurias test methods deteriorated performances groups memory intellectual higher visual motor functions orientation neuropsychological functions deteriorated gradually course disease process shape performance profile preserved progression disease seemed rapid senile patients neuropsychologically significant differences alzheimers disease senile dementia alzheimer type seemed form continuum one disease lurias neuropsychological investigation turned useful method assessment least moderate severe dementia
121,ALZ,ALZ207,alzheimers disease senile dementia alzheimer type comparative study clinical neuropsychological findings eeg several blood csf parameters investigated patients alzheimers disease ad patients senile dementia alzheimer type sdat women among senile patients familial cases among presenile patients average duration symptoms longer presenile patients years senile patients years could due lower resistance disease process senile group extrapyramidal signs especially rigidity found patients practically patients advanced dementia tremor found three patients four presenile two senile patients epileptic seizures patients abnormal eeg recordings mainly form diffuse slowing positive correlation found eeg abnormality severity dementia ad sdat however difference correlation coefficients ad sdat insignificant eeg duration disease correlation eeg abnormal severe dementia severe dementia findings similar ad sdat concluded artificial separate ad sdat age clinically compose single entity entity could well called alzheimers disease
122,ALZ,ALZ208,dementia search treatable causes consecutive cases dementia found treatable reversible causes many patients labeled senile dementia en route chronic care facilities implications overlooking treatable cause dementia obvious overemphasized evaluation dementia emphasis potentially correctable causes outlined
123,ALZ,ALZ209,managing families demented elderly dementing illness affects percent people years age families encounter many problems attempt care relatives physicians assist several ways beginning establishing accurate diagnosis terms senility dementia hardening arteries imprecise may convey attitude hopelessness psychiatric medical laboratory evaluation usually leads specific diagnosis one half cases due alzheimers disease frequently treatable component demented patients condition addition making accurate diagnosis treating reversible problems physicians assist family patient capable including increasing specific activities help family understand even best efforts may lead improvement point ways family balance patients needs teach family communicate effectively patient
124,ALZ,ALZ21,nuclear inclusions alzheimers disease biopsy samples parietal cortex seven patients undergoing atrio ventricular shunt operations examined electron microscopically five suffering alzheimers disease two subjects normotensive hydrocephalus following previous head injuries intranuclear neuronal inclusions three types found frequent intranuclear rodlet commonly observed four patients alzheimers disease one block one hydrocephalus cases two types namely spherical inclusion body vermicellar like inclusion found less commonly two cases inclusions seen glial nuclei
125,ALZ,ALZ210,post mortem study cholinergic gaba systems senile dementia choline acetyltransferase chat activity gamma aminobutyric acid gaba concentration measured cerebral cortical areas subcortical areas brains control histologically proven cases alzheimers disease reduced chat activity observed cortical areas examined alzheimer cases dying median age years alzheimer cases aged greater years death frontal cortical areas normal chat activity compared controls significant reductions gaba concentrations alzheimer cases confined temporal cortex significant reductions chat activity subcortical areas confined regions examined notably included septal nuclei substantia innominata proposed origins cholinergic projections hippocampus neocortex respectively reductions gaba concentrations outside cerebral cortex four multi infarct cases cases normal histology found small reduction chat activity confined areas data consistent predominant loss alzheimers disease diffuse cholinergic projection brainstem basal forebrain
126,ALZ,ALZ211,memory function clinical differentiation dementing disorder demented patient relatively accurate bedside diagnosis feasible use carefully designed neurologic examination coupled understanding neuroanatomy memory related cognitive processes confirmation clinical diagnosis application selected laboratory diagnostic procedures result appropriate plan treatment promise continued development new therapeutic modalities specific dementing illnesses alzheimers disease parallel improvement diagnostic precision seems mandatory order permit detection disease earlier stage clinical anatomic approach special emphasis understanding assessment memory function suggested starting point hoped serial examination significant number patients method eventually yield clues aid earlier differential diagnosis dementia
127,ALZ,ALZ212,cortical substance p like immunoreactivity cases alzheimers disease senile dementia alzheimer type concentration substance p like immunoreactive material spli somatostatin like immunoreactive material sli activity acetyl coa choline acetyltransferase chat ec measured eight brain regions normal patients patients alzheimer diseasesenile dementia alzheimer type adsdat spli significantly lower five eight regions patients adsdat younger patients adsdat significantly lower sli parietal cortex older patients chat activity spli parietal cortex presenile patients adsdat significantly different values found older patients
128,ALZ,ALZ213,stimulation acetylcholine synthesis blockade presynaptic muscarinic inhibitory autoreceptors observations rat human brain preparations comparison effect choline central presynaptic muscarinic inhibitory autoreceptor monitored measuring effects muscarinic agents acetylcholine ach synthesis rat human neocortical tissue prisms quinuclidinyl benzilate qnb antimuscarinic tested caused marked stimulation ach synthesis rat significantly increased ach synthesis human prisms range concentrations microm microm data provides first evidence human brain contains presynaptic muscarinic receptors however marked effect qnb increase synthesis control value without drug much less rat control ach synthesis reduced control neocortex alzheimer patients none antimuscarinics tested seem potentially capable appreciably reversing deficit high concentration choline mm stimulated synthesis rat prisms extent qnb moreover ach precursor least effective stimulating synthesis human prisms including patient alzheimers disease suggests elevated intracellular concentration choline likely much effective antimuscarinic agent stimulating synthesis alzheimer brain
129,ALZ,ALZ214,oral administration chronic physostigmine improve cognitive mnesic performances alzheimers presenile dementia physostigmine administered orally mg qid one month patients clinical diagnosis alzheimers presenile dementia possible beneficial effects drug evaluated means neuropsychological battery administered patients treatment performances obtained demented patients retest show difference comparison performances obtained first neuropsychologic assessment implications negative results briefly discussed
130,ALZ,ALZ215,immunological parameters alzheimers pre senile dementia serum immunoglobulin levels c c complement concentrations assayed serum tested presence autoantibodies patients pre senile alzheimers disease majority patients showed reduced level one immunoglobulins igg iga igm significant abnormality found indicate autoimmune disorder
131,ALZ,ALZ216,congophilic angiopathy brain clinical pathological report two siblings clinical histological accounts given sister brother dying aged years respectively illnesses lasting years marked progressive mental physical disability family history suggested transmission dominant gene histological findings severe congophilic angiopathy confined brain spinal cord leptomeninges giving rise multiple haemorrhages softenings addition abundant amyloid containing plaques various forms found principally hippocampus cerebellar cortex cases compared similar cases literature reasons given regarding condition separate entity rather variant alzheimers disease
132,ALZ,ALZ217,picks disease clinical computed tomographic histologic study golgi impregnation observations studied case pathologically confirmed picks disease several clinical computed tomographic ct features may helpful making vivo diagnosis disease addition golgi impregnation studies showed unique dendritic histopathologic pattern previously encountered degenerative dementias
133,ALZ,ALZ218,coexistence cognitive impairment depression geriatric outpatients authors diagnosed depression cognitively impaired geriatric outpatients three patients depression depression superimposed underlying dementia rate coexisting depression decreased significantly greater severity cognitive impairment mildly impaired patients depressed compared moderately impaired severely impaired patients nonsignificant trend cognitively impaired women likely depressed similarly impaired men authors conclude although depression must differentiated dementia equally important consider possibility diagnoses coexist
134,ALZ,ALZ219,fluctuations free choline levels plasma alzheimer patients receiving lecithin preliminary observations plasmas patients currently taking part double blind trial lecithin senile presenile dementia alzheimer type analysed plasma choline levels fixed intervals lecithin treatment values maintained constant level showed decline one two months treatment often followed subsequent rise possible explanations observation given significance treatment dementia discussed
135,ALZ,ALZ22,immunological indices presenile alzheimers disease immunological indices b dependent studied patients affected presenile alzheimers disease data obtained compared group normal adults similar age group normal young subjects furthermore antisera produced rabbits alzheimers serum compared antisera normal human serum following results obtained decrease serum igm levels monoclonal aspects auto antibodies detected patients kappalambda ratio also normal cell system functionally normaly slight decrease cell number increase null lymphocytes specific serum proteins found anti alzheimer antisera data discussed correlation possible genesis senile plaques
136,ALZ,ALZ220,definition therapy chronic cerebro vascular diseases chronic cerebro vascular disorders could considered broad sense large body knowledge three main categories clinical disturbances considered pathological aging manifest light short term memory impairment associated mild parkinsonian symptomatology pseudobulbar signs senile dementia alzheimer type multi infarct dementia chronic cerebro vascular disorders defined ad hoc committee paris present therapy chronic cerebro vascular disorders based two main groups drugs divided treatment prevention secondary prevention tends correct modify different risk factors treatment seeks control modify neurological neuropsychological effects disorders higher nervous activities result lesion
137,ALZ,ALZ221,immunohistochemical evidence lack amyloid p component intracerebral amyloids sections brain tissue patients alzheimers disease amyloid deposits vessels plaques within nerve cells studied means immunoperoxidase method using specific antiamyloid p component ap antiserum amyloid deposits vessels found strongly positive protein ap whereas alzheimers plaques neurofibrillary tangles negative weakly positive absence protein ap intracerebral amyloid deposits might due inability protein ap intracerebral amyloid deposits might due inability protein penetrate blood brain barrier findings support theory protein ap absorbed already formed amyloid fibrils possibility may participate formation vascular amyloid dismissed findings also indicate protein ap necessary formation amyloid fibrils least forms cerebral amyloidosis
138,ALZ,ALZ222,thickened cerebral cortical capillary basement membranes diabetics human diabetes mellitus thickening microvascular endothelial cell basement membrane documented quantitative ultrastructural studies variety vascular beds studied thickness cerebral cortical capillary basement membrane frontal occipital lobes diabetics nondiabetics found diabetics significantly thicker skeletal muscle capillary basement membranes shown thicken increasing age however frontal cortex diabetics significant relationship observed capillary basement membrane thickening increasing age conclude along many previously studied microvascular beds cerebral cortical microvasculature displays thickening endothelial cell basement membrane diabetes mellitus currently known disease associated microvascular change unlike closely related retinal vasculature association diabetic retinopathy established
139,ALZ,ALZ223,angiotensin converting enzyme alzheimers disease increased activity caudate nucleus cortical areas activity dipeptidyl carboxypeptidase angiotensin converting enzyme assayed several brain regions patients dying alzheimers disease compared appropriately age matched controls enzyme activity found elevated medial hippocampus parahippocampal gyrus respectively frontal cortex area brodman caudate nucleus respectively alzheimers disease patients converting enzyme activity differ controls nucleus accumbens substantia nigra temporal cortex anterior posterior hippocampus amydgala septal nuclei
140,ALZ,ALZ224,nerve cell protein metabolism degenerative disease mechanisms organelles control protein synthesis within healthy nerve cells governed discussed ways expression biochemical pathways related cell morphology described volumes nucleus nucleolus amount rna within cell body interrelated seem set genetically predetermined levels normally match neurones basal needs replacement proteins respect size projection field however situations induced hyperactivity cell damage others disease may lower nerve cell activity protein requirements change noted morphological features also alter direction appropriate need greater lesser amounts protein alterations protein synthesis provide information basic pathology even pathogenesis degenerative disease nervous system illustrated reference alzheimers disease motor neurone disease
141,ALZ,ALZ225,cholinergic innervation neuritic plaques although several studies alzheimers disease suggest frequency neuritic plaques cerebral cortex correlated severity dementia reduction presynaptic cholinergic markers cortex relationship cholinergic cortical innervation pathogenesis plaques unknown hypothesis tested neurites plaque consist part presynaptic cholinergic axons many arise neurons basal forebrain hypothesis tested analyzing character distribution plaques monkeys aged years staining acetylcholin esterase also congo red silver stains immature mature plaques rich acetylcholinesterase plaques matured amount amyloid increased number neurites activity acetylcholinesterase decreased end stage amyloid rich plaques lacked acetylcholinesterase observations indicate changes cortical cholinergic innervation important feature pathogenesis evolution neuritic plaque
142,ALZ,ALZ226,anterior horn cell dysfunction alzheimers disease electrophysiological studies undertaken patients alzheimers disease reduction number functioning motor units found extensor digitorum brevis muscle electrophysiological parameters motor unit potentials increased compared control values four seven muscle biopsies showed abnormalities ranging mild severe results suggest dysfunction lower motor neurone disease
143,ALZ,ALZ227,dementia major disease aging mental deterioration behavioral changes particularly distressing effects brain disorders differential diagnosis dementing conditions important treatable physician must separate primary psychologic disorders dementias use office tests evaluating patients neuropsychologic function
144,ALZ,ALZ228,reovirus pathogenesis forms chronic mental illness focal microdegenerative changes nuclei ansa peduncularis septum pellucidum present cases presenile senile dementia parkinsons disease schizophrenia nuclei interconnect extensive synaptic connections areas brain recently shown contain non cytopathic reovirus antigen reovirus like particles normal adult reovirus involved regions closely approximate overall pattern topography brain atrophy alzheimers dementia parkinsons disease mechanisms suggested whereby mutant defective reovirus present adult human brains responsible related major forms chronic mental illness including common types dementia schizophrenia
145,ALZ,ALZ229,senile cerebral amyloid prealbumin common constituent neuritic plaque neurofibrillary tangle microangiopathic lesion three lesions characterize nosologic findings brain alzheimers presenile dementia senile dementia alzheimer type ie neuritic plaque neurofibrillary tangle microangiopathy frequently associated amyloid deposition question however whether lesions share etiology moreover specific chemical nature amyloid associated lesions yet determined present study formalin fixed paraffin sections affected brains tested immunocytochemically reactivity antiserum prealbumin recently disclosed major constituent amyloid associated familial amyloidotic polyneuropathy well senile cardiac amyloid known components types amyloid aa ap etc results demonstrated amyloid deposits three lesions reacted anti prealbumin suggesting common constituent lesions indeed likely prealbumin major constituent amyloid associated neuritic plaque neurofibrillary tangle microangiopathy
146,ALZ,ALZ23,relationship plaques tangles dementia syndrome patients syndrome senile plaques neurofibrillary tangles accumulate cortex earlier age persons normal karyotype studied syndrome patients dying age average age neocortical plaques tangles demented cases average age tissue available quantitative study plaque tangle densities estimation cell loss hippocampus although least cases plaque tangle densities comparable previously reported demented old people dementia regional distribution plaques tangles hippocampus cases differed pattern senile dementia although alzheimer like dementia occurs disease less prevalent plethoric plaques tangles cortex
147,ALZ,ALZ230,alzheimers disease challenging enigma gray matter patients dying senile dementia alzheimer type sdat displays severe histopathologic lesions including neurofibrillary tangles neuritic senile plaques granulovacuolar degeneration hirano bodies loss nerve cells differences changes seen sdat seen normal aging brain quantitative results neurochemical studies suggest cholinergic neurons especially afflicted clinical trials administering choline precursors patients food hve thus far unsuccessful theories cause include genetic predisposition exogenous toxin slow latent viral agent fully satisfactory animal model exists disorder prospective clinicopathologic investigations using tissues harvested time autopsy may help elucidate pathogenesis common form organic dementia
148,ALZ,ALZ231,ct scan neuropsychological correlates alzheimers disease huntingtons disease cortical subcortical dementia syndromes differ areas primary neuropathology clinical characteristics conventional ct scan interpretation visual inspection pictures useful studying dementia recent studies digitally stored ct attenuation values found systematic variations normal aging aphasia subtypes study numerical ct scan information four alzheimers disease two huntingtons disease patients double dissociation frontal temporal lobe density values found significant correlation found left temporal lobe density verbal ability measures alzheimers disease patients
149,ALZ,ALZ232,lymphocyte proteins huntingtons disease quantitative analysis use two dimensional electrophoresis computerized densitometry used quantitative two dimensional electrophoresis study lymphocyte proteins hungtingtons disease three hundred six polypeptides c labeled phytohemagglutinin stimulated lymphocytes measured variation relative spot density variation spot position use computer program requiring operator interaction polypeptide measured total electrophoretograms individuals including huntingtons disease risk controls study included two sets identical twins neurological controls individuals neurofibromatosis alzheimers disease shy drager syndrome seven protein polymorphisms identified among dense polypeptides gel corresponding minimum average heterozygosity stringent criteria used define polymorphic proteins including observation least one individual two homozygous phenotypes one heterozygous phenotype demonstration expected gene dosage relationship quantitative densitometry consistency genetic relationships reproducibility one polymorphic protein showed three electrophoretically variant alleles identification seven polymorphisms among proteins measured single electrophoretogram illustrates potential technique performing linkage analysis diseases genetic origin however observed quantitative positional protein variations characteristic ie specific huntingtons disease
150,ALZ,ALZ233,alzheimers disease senile dementia loss neurons basal forebrain recent evidence indicates nucleus basalis meynert distinct population basal forebrain neurons major source cholinergic innervation cerebral cortex postmortem studies previously demonstrated profound reduction presynaptic markers cholinergic neurons cortex patients alzheimers disease senile dementia alzheimers type results study show neurons nucleus basalis meynert undergo profound greater percent selective degeneration patients provide pathological substrate cholinergic deficiency brains demonstration selective degeneration neurons represents first documentation loss transmitter specific neuronal population major disorder higher cortical function points critical subcortical lesion alzheimers patients
151,ALZ,ALZ234,alzheimers disease insolubility partially purified paired helical filaments sodium dodecyl sulfate urea method described partial purification paired helical filaments accumulate progressively human neurons alzheimers disease senile dementia paired helical filaments unusual solubility characteristics including insolubility sodium dodecyl sulfate urea reducing agent guanidine prevent analysis molecular composition gel electrophoresis paired helical filaments appear contain covalent bonds disulfide cross link individual filaments rigid intracellular polymer thus paired helical filaments appear represent example neurons insoluble cross linked protein covalently cross linked protein polymers occur lens senile cataracts terminally differentiated skin keratinocytes suggesting may common mechanism remodeling structural proteins cell aging
152,ALZ,ALZ235,differential diagnosis presenile dementia clinical grounds fifty seven patients studied differential diagnosis dementias three rating scales used identification alzheimers disease ad picks disease pd multi infarct dementia mid validity tested verified diagnoses patients rating scale ischemic score consisting items abrupt onset stepwise progression fluctuating course history strokes neurological symptoms signs identifies patients mid also achieved two rating scales diagnosis ad items pd items however also used differentiation two dementias rating scale diagnosis ad contains clinical features early spatial disorientation apraxia aphasia agnosia logoclonia increased muscular tension rating scale pd contains ia early loss insight early signs disinhibition echolalia mutism amimia results show differentiation major types presenile dementia achieved systematic rating clinical features
153,ALZ,ALZ236,downs syndrome model disease aneuploid chromosomal disorders may offer insight pathogenesis certain common diseases birth defects mental retardation characterize downs syndrome well recognized addition altered chromosomal content occurs syndrome apparently affects prevalence variety disorders malignancy endocrine dysfunction infection atherosclerosis premature aging single distinguishing factor downs syndrome presence excess part chromosome genetic information contained chromosomal segment seems responsible disease manifestations techniques somatic cell genetics molecular biology allow mapping human genes study expression methods possible understand downs syndrome aneuploid disorders apply considerations areas medicine
154,ALZ,ALZ237,study familial factors alzheimers disease data families probands autopsy proven alzheimers disease support hypothesis advanced heston co workers familial association alzheimers disease downs syndrome immunoproliferative disorders however difficulties interpreting negative conclusions type study particularly resulting small sample size impossibility tracing relatives data immunoproliferative disorders incompatible hypothesis downs syndrome informative incidence presenile dementia among first degree relatives probands raised many previous studies consistent simple polygenic model mean parental age birth probands significantly raised years p divided also unaffected sibs suggesting mechanism differs occurring trisomy certain aneuploidies
155,ALZ,ALZ238,substantia innominata alzheimers disease histochemical biochemical study cholinergic marker enzymes acetylcholinesterase staining examined substantia innominata normal human brains large intensely stained neurones seen within region basal nucleus meynert believed origin cholinergic projection neocortex animals basis acetylcholinesterase staining pattern substantia innominata dissected post mortem brain tissue cases alzheimers disease ad controls include basal nucleus choline acetyltransferase chat activity found reduced substantia innominata amygdala ad adjacent lentiform nucleus hypothalamus
156,ALZ,ALZ239,cholinesterase enzymes blood patients alzheimers disease plasma pseudocholinesterase activity higher patients alzheimers type dementia similar age controls red cell acetylcholinesterase activity tended lower patients controls administration lecithin substantially increased plasma choline levels alter activity either cholinesterase enzymes
157,ALZ,ALZ24,changes monoamine containing neurones human cns senile dementia thirteen cases senile dementia alzheimer type severe loss nerve cells locus caeruleus frequently seen together reductions nucleolar volume cytoplasmic rna surviving cells averaging per cent respectively histological findings matched two cases biochemical measurements loss noradrenaline brain regions examined ranging per cent temporal cortex per cent hypothalamus contrast neither nucleolar volume cytoplasmic rna altered cells substantia nigra dopamine content significantly altered regions vascular dementia neither noradrenaline dopamine metabolism changed except regions local circulatory deficiency findings provide evidence primary degeneration noradrenergic system alzheimer type dementia
158,ALZ,ALZ240,changes sleep waking eegs nondemented demented elderly subjects sleep waking eegs healthy nondemented elderly men ten inpatients diagnosis probable senile dementia alzheimers type sdat monitored subjects typical home ward environments sleep laboratory according customary sleep schedules aged normal subjects age range years less stage stage sleep less rem sleep wakefulness normally observed young adults patients sdat age range years even less stage sleep stage sleep little rem sleep experienced fragmentation sleep frequent awakenings sleep variables significantly different sdat control groups manova examination hour plots sleepwaking patterns revealed prominent fragmentation diurnal sleepwaking rhythm sdat patients frequent daytime napping nighttime periods wakefulness addition significant group differences observed eeg variable dominant occipital frequency qualitative eeg variables diffuse slowing spindle activity paroxysmal discharges also differed groups suggested correlative neuropathologic data might provide understanding basis sleep eeg mental function factors undergo change sdat
159,ALZ,ALZ241,assess aged clinical psychologists view four major areas research early detection alzheimers disease psychological side effects anticholinergic drugs significance late onset depression relationship physical activity ageing cognitive status discussed reference problem improving quality life aged four areas research unified discussing two aspects information processing speed performance memory significance need assessment cognitive status elderly also discussed well notion tests elderly fit ecology
160,ALZ,ALZ242,neuronal lipofuscin accumulation ageing alzheimer dementia pathogenic mechanism amount intraneuronal lipofuscin parietal cortex inferior olivary nucleus measured post mortem tissue affected alzheimer dementia specimens non demented individuals results indicate liner relationship accumulation cell body lipofuscin advancing age neuronal populations non demented groups olivary neurones demented group however demented group lipofuscin fluorescence intensity parietal neurons significantly correlated age estimated amount lipofuscin olivary neurons demented group significantly higher non demented group age taken account p less possible pathogenic role lipofuscin accumulation ageing alzheimer dementia discussed
161,ALZ,ALZ243,intrusions sign alzheimer dementia chemical pathological verification word intrusions behavioral abnormality previously observed experimental subjects receiving anticholinergic medication well patients alzheimer dementia alz studied diagnostic indicator alz elderly nursing home residents later came autopsy intruded words one portion mental status test another tended low levels choline acetyltransferase cerebral cortex median p less large numbers cortical senile plaques median p less immediate perseverations guesses memory test counted another group patients referred clinical neurological examination dementia intrusions associated alz exhibited identified patients presumptive diagnosis word intrusion appears sufficiently characteristic alz helpful diagnostically association behavioral phenomenon low choline acetyltransferase levels large numbers senile plaques suggests changes may important producing characteristic behavioral deterioration alz
162,ALZ,ALZ244,noradrenergic system alzheimer multi infarct dementias number melanin containing nerve cells locus coeruleus vagus nucleus reduced alzheimers disease decrease protein synthetic capability remaining cells changes matched reductions brain noradrenaline eight regions averaging multi infarct dementia however three features unchanged findings indicate degeneration central noradrenergic nerve cells specific aspect pathogenic process underlying alzheimers disease
163,ALZ,ALZ245,reflections alzheimers disease longevity increases society face silent epidemic idiopathic dementias concept alzheimers disease reflects cumbersome vaguely defined cluster signs symptoms variables might appropriately labelled idiopathic dementias alzheimer type idat diagnosis made exclusion treatment primarily custodial demonstrates complex nature unfortunate prognosis problem dramatic progress nevertheless made various scientific aspects issue namely histology genetics neurochemistry resulting evidence warrants speculation role central cholinergic neurotransmission cognitive functioning
