class,document,BONA_TFRF
ALZ,ALZ377,direct health th individuals united th total year diseases term review issues diseases normal diseases emphasis genetics immunology neurology ultimate emphasis senescence
ALZ,ALZ378,nih dementia techniques emission fluoro deoxy glucose neuropsychological tests overall populations healthy different presumptive alzheimers glucose whereas decrement gray matter tomographic healthy subjects precede significant reductions glucose mild alzheimers visuoconstructive mild alzheimers hemispheric glucose downs strict findings
ALZ,ALZ379,intrusions perseverations subjects senile dementia alzheimers sdat dementia healthy intrusions perseverations perseverations immediate inappropriate whereas intrusions inappropriate intrusions perseverations aphasic subjects rare intrusions sdat sdat intrusions dementia intrusions dementia sdat subjects term short term perseverations aphasics subjects due frontal dysfunction prominent perseveration frontal injury monitor inability mental important perseverations significant correlation dementia perseverations correlations intrusions perseverations neuropsychological mechanisms
ALZ,ALZ38,psychological alzheimers progressive dementia laboratory evidence multiinfarct dementia dementia enlargement ct index ct index correlation index psychological psychological index results psychological alzheimers ct
ALZ,ALZ380,senile dementia etiology pathophysiology neurochemistry management senile dementia sdat etiology sdat unclear qualitative normal neurofibrillary tangles cognitive evidence sdat cholinergic choline cholinergic dementia exclusion neurological psychological laboratory sdat progressive deterioration management vasodilators metabolic unsuccessful therapy sdat antipsychotic drugs sdat neurochemical early prevent slow
ALZ,ALZ381,dementia motor golgi neurofibrillary tangles pick motor terminal bulbar lateral sclerosis regions senile dementia neurons findings dementia innominata somatostatin normal limits sponginess upper layers attrition pyramidal golgi successful severe degeneration motor multisystem
ALZ,ALZ382,electrode liquid electrochemical neurotransmitters liquid electrochemical resolution direct neurotransmitters coulometric electrochemical identification gate coulometric irreversible substances coulometric currentvoltage sensitivity pg gate favors reversible irreversible ones hydroxyphenylglycol vs ascorbate factor resolution electrode half potentials little monoamines monoamines state alzheimers
ALZ,ALZ383,diffuse lewy progressive dementia lewy term lbd types lewy group diffuse lbd remarkable lewy stem diencephalon group senile degrees group transitional group stem lbd idiopathic parkinsons lbd literature progressive dementia lbd entity diffuse lbd presenile dementia
ALZ,ALZ384,alzheimers posttranscriptional level alzheimers total rna rna many neurofibrillary tangles significant due protein synthesis translation messenger rna rna protein synthesis neurons
ALZ,ALZ385,alzheimers downs unique protein protein downs purified homologous protein alzheimers evidence alzheimers downs alzheimers protein human gene genetic alzheimers
ALZ,ALZ386,nmr ct dementia different types dementia nuclear magnetic resonance nmr ct overall correlation ct nmr findings good hypodensity white matter ct nmr white matter vascular dementias primary dementias presence white matter important factor vascular dementia primary dementia nmr ct findings lacunar state binswanger vascular dementia subgroups vascular dementia dementia
ALZ,ALZ387,extrapyramidal signs alzheimers occurrence extrapyramidal signs free extrapyramidal signs extrapyramidal hypokinetic tremor dyskinetic signs orofacial observations alzheimers striatal dopaminergic hypofunction hypokinesia dyskinetic signs dysfunction
ALZ,ALZ388,early putative alzheimers presumptive dementia techniques intermediate normal descriptors standard group results early
ALZ,ALZ389,stroop color test dementia color test patterns cognitive dementia atd non dementia color mild dementia scores dementia stroop interference effect time individuals atd mild non dementia atd subjects less stroop interference effect subjects time color findings speed due importance cognitive dementia
ALZ,ALZ39,observations cholinesterase elderly normal extent acetylcholinesterase hippocampus normal elderly alzheimers senile neurofibrillary tangles acetylcholinesterase alzheimers acetylcholinesterase positive senile cholinergic fibres acetylcholinesterase diminution cholinergic input fibres alzheimers
ALZ,ALZ390,nominal dysphasia senile previous nominal dysphasia senile dementia alzheimers evidence nominal dysphasia index dementia cognitive scales
ALZ,ALZ391,lithium accentuation extrapyramidal individuals alzheimers lithium elderly individuals alzheimers accentuation extra pyramidal eps eps plasma rbc lithium extrapyramidal
ALZ,ALZ392,hla alzheimers histocompatibility alzheimers hla hla hla cw dementia senile dementia
ALZ,ALZ393,nutritional nervous system metals downs picture individuals lifelong downss hippocampus concerned alzheimers damage mature ageing process
ALZ,ALZ394,dementia review dementia slowness mental processing forgetfulness cognition progressive palsy huntingtons parkinsons spinocerebellar idiopathic lacunar state dementia disorders dementia stem recent lesions mood motivation visuospatial dementia dementia alzheimers prominent amnesia
ALZ,ALZ395,biogenic metabolites dementia noradrenaline da serotonin ht homovanillic hva hydroxyindoleacetic hiaa regions dementia atd normal hiaa atd regions frontal cingulate amygdala lateral segments pallidus nigra lateral thalamus regions innominata lateral segments pallidus lateral thalamus na regions innominata thalamus significant reductions hva hiaa ht ratio atd coeruleus hvada ratio globus pallidus findings dopaminergic system atd
ALZ,ALZ396,psychopharmacologic cognitive disorders current drugs cognitive senile dementia cognitive underlying rationale drugs significant cognitive drugs strategy pharmacotherapeutic future
ALZ,ALZ397,deoxyglucose uptake choline lesions uptake dg regions lesions basalis choline regions lesions significant chat effect dg pentobarbital dg reductions lesions results cholinergic innervation glucose glucose alzheimers degeneration cholinergic
ALZ,ALZ398,infection specific unconventional slow diseases fibrils infected mice infected humans jakob kuru fibrils humans nervous system disorders scrapie kuru jakob fibrils preclinical scrapie spleens infected mice specific unconventional slow diseases
ALZ,ALZ399,correlation basalis alzheimers substantiate hypothesis cholinergic matrix alzheimers cholinergic neurons forebrain correlation neurons basalis meynert cholinergic innervation neurons important
ALZ,ALZ4,resolution alzheimers microscopy types filaments neurofibrillary tangles helical filaments second tilt stage microscopy bifilar helix microscopy observations twisted tubules
ALZ,ALZ40,cholinergic system alzheimers cholinergic system post mortem senile acetylcholinesterase butyrylcholinesterase receptor unchanged process normal choline extent related acetylcholinesterase findings possible cholinergic system normal alzheimers compatible terminal
ALZ,ALZ400,possible mechanisms presynaptic cholinotoxicity due ethylcholine aziridinium afa vivo afa toxin cholinergic transmission vivo disruption vivo specific cholinergic system afa nanomolar neurochemical alzheimers afa potential state report overview recent findings vivo findings aziridinium agnts propose possible vivo recent observations
ALZ,ALZ401,tetrahydrobiopterin senile dementia tetrahydrobiopterin subjects senile dementia results total biopterin subjects senile dementia synthesis neopterin normal specific dihydroneopterin triphosphate tetrahydrobiopterin
ALZ,ALZ402,dorsalis dementia neurofibrillary packing reticulate dorsalis predilection neurofibrillary tangle nft dementia primary stem nft histological significant fold nft histological significant overall significant neurons polygonal nrd target nft nrd
ALZ,ALZ403,xenon ct differentiates normal dementia senile dementia flow lcbf stable xenon gas ct normal individuals dementia mid dementia sdat gray matter flow values mid sdat declines values normals frontal lcbf values normals frontal mid sdat mid sdat normals values fronto thalamus mid multifocal lesions mid sdat normals
ALZ,ALZ404,possible therapy management
ALZ,ALZ405,cholinergic hippocampal term glucose alzheimers cholinergic neurons cholinergic lesions deoxy hglucose hippocampal hippocampal glucose lesions weeks lesions regions months intraregional hippocampal glucose values results cholinergic hippocampal permanent metabolic
ALZ,ALZ406,alzheimers report adrda work group health human force alzheimers alzheimers progressive cognitive functions motor sensory coordination early laboratory tests tests important possible dementia alzheimers confidence neuropsychological tests evidence dementia therapy serve guide probable possible alzheimers definitive
ALZ,ALZ407,maze basalis lesions paradigm maze pre training subjects ibotenic micrograms vehicle basalis important neocortical projections neocortical hippocampal significant side biases
ALZ,ALZ408,synaptic neurofibrillary synaptic subiculum neurofibrillary subcutaneous aluminum tartrate synapses ethanolic phosphotungstic postinjection aluminum tartrate significant synaptic aluminum tartrate synaptic postinjection aluminum tartrate postinjection synaptic synaptic depopulation neurofibrillary gradual process neurofibrillary
ALZ,ALZ409,lipofuscin alzheimers work ultrastructure lipofuscin spinal alzheimers diseases year male alzheimers afflicted forgetfulness disorientation grand pyramidal signs dysarthria visuo spatial general mild senile alzheimers neurofibrillary tangles senile medulla severe microscopy thalamus medulla oblongata spinal different types lipofuscin different lipofuscin methods morphological sites nervous
ALZ,ALZ41,dendritic degeneration alzheimers frontal alzheimers microscopy layers layers droplets layers findings techniques dendritic trees alzheimers diseases mental
ALZ,ALZ410,meynert idiopathic parkinsons meynert bnm idiopathic parkinsons histopathological magnocellular neurons parkinsons lewy significant correlation mental state hand significant bnm neurons damage meynert parkinsons less severe observed alzheimers progressive palsy
ALZ,ALZ411,aluminium alzheimers contribute cholinergic aluminium alzheimers dementia reductions parameters presynaptic cholinergic choline uptake synthesis choline aluminium choline transport endings human erythrocytes rabbits neurofibrillary tangles choline aluminium alzheimers cholinergic aluminium
ALZ,ALZ412,status cholinesterase neuropsychiatric disorders trait cholinergic identification subgroups neuropsychiatric specific diagnostic refinement specific neuropsychiatric disorders cholinergic transmission peripheral cholinesterase cholinergic transmission uncertain future specific cholinesterase diagnostic potential peripheral trait cholinergic
ALZ,ALZ413,genetics dementia genetic types dementia severe dementia parkinsons dementia dementia evidence many corroboration genetic dementia support early onset genetic risk evidence dna damage
ALZ,ALZ414,myoclonus alzheimers ten alzheimers trisomy downs myoclonic jerk myoclonus subjects potential myoclonic jerks myoclonus spongiform jakob
ALZ,ALZ415,dementia dementia diagnostic problems alzheimers senile dementia adsdat dementia mid group dementia mid group adsdat group adsdat free diseases mid thirty mid previous adsdat time investigation adsdat signs mid signs mid adsdat normal adsdat mid ecgs electroencephalography slow adsdat slow mid mid dilation system homovanillic adsdat group
ALZ,ALZ416,th stevenson lecture alzheimers cholinergic system tissues uniform dropout cholinergic forebrain locus coeruleus dopaminergic nigra diseases dependent alzheimers cholinergic coeruleus parkinsons nigra locus dementia alzheimers severe dementia less unknown method ineffective modest regimens cholinergic system alzheimers dementia many reticular activating system hypothesis cognition reinterpretation reticular system quarter locus coeruleus element recognition time forebrain system cholinergic
ALZ,ALZ417,hydroxylase acetylcholinesterase alzheimers recent neurochemical alzheimers cholinergic defects nervous system hydroxylase csf hydroxylase hydroxylase dementia cholinergic acetylcholinesterase csf hydroxylase acetylcholinesterase group
ALZ,ALZ418,neurochemical alzheimers picks neurochemical whole alzheimers yr picks yr yr alzheimers primary diseases glycolytic carbonic anhydrase acetylcholinesterase protein alzheimers picks picks pronounced dramatic process alzheimers picks
ALZ,ALZ419,cytomegalovirus infection alzheimers serum cytomegalovirus cmv alzheimers non functional cmv conventional cmv post mortem cmv histocompatibility hla raised hla immune cmv
ALZ,ALZ42,jakob dementia necropsy findings consistent spongiform jakob year alzheimers presenile dementia generations progressive presenile illnesses post spongiform lesions weight alzheimers jakob different manifestations genetic predisposition
ALZ,ALZ420,uptake indices aminopyridine neural transmission etiopathology alzheimers neurochemical cholinergic transmission current cholinomimetic situation search
ALZ,ALZ421,alzheimers isoproterenol receptor alzheimers parallel lymphocytic receptor lymphocytic receptor dementia
ALZ,ALZ422,test senile dementia alzheimers test dst presenile senile dementia alzheimers cognitive hamilton normal results dst results dst alzheimers likely confounded
ALZ,ALZ423,correlation cholinergic gaba findings senile dementia choline gamma aminobutyric gaba counts senile neurofibrillary tangles senile dementia sdat counts frontal whole group subgroups significant correlations counts total group sdat significant correlations neurofibrillary frontal midtemporal sdat correlations youngest dementia severe neurochemical neurochemical elderly group sdat illustrated trends gaba chat significant correlations gaba positive group neurofibrillary tangle little correlation gaba
ALZ,ALZ424,gamma aminobutyric homovanillic csf senile dementia alzheimers investigation metabolites senile dementia alzheimers sdat promising diagnostic metabolic reflections csf csf aminobutyric gaba homovanillic hva female sdat gaba exchange fluorimetric hva gaba csf sdat whereas hva level unchanged
ALZ,ALZ425,alzheimers cholinergic system giant neurons forebrain choline elderly senile dementia frontal mumolhr protein senile dementia cholinergic drops level chat dementia
ALZ,ALZ426,intracerebral findings cerebromeningeal previous meningeal hematomas vascular lesions meningeal lesions alzheimers significant presence unusual
ALZ,ALZ427,alzheimers csf alzheimers undemented presence alzheimers specimens oligoclonal igg group significant non gamma alzheimers double transferrin double tau protein alzheimers group genetic
ALZ,ALZ428,ergoloid mesylates dementias unanswered questions mesylates senile dementia peripheral vascular senile dementia ergoloid mesylates metabolic enhancer senile dementia uncertain doses range much optimal unknown evidence short term ergoloid trials many specific therapy senile dementia condition
ALZ,ALZ429,npy innominata alzheimers dementia alzheimers dementia atd accumbens amygdala pmolg innominata pmolg significant npy innominata pmolg atd pmolg less somatostatin atd somatostatin atd npy regions
ALZ,ALZ43,cognitive status alzheimers illnesses mid results free diagnostic primary degeneration alzheimers serum igg dementia serum igg symptomatology mental status serum igg
ALZ,ALZ430,alzheimers report protein protein twisted fibrils alzheimers sephadex column hc liquid computer search reveals homology protein protein unique serum diagnostic test alzheimers
ALZ,ALZ431,quantification biogenic metabolites gas spectrometry method biogenic metabolites gas spectrometry method level quantification conditions gas synthesis standard good correlation results liquid method
ALZ,ALZ432,receptor neocortex hippocampus senile dementia ligand serotonin benzodiazepine gaba neocortex hippocampus senile dementia sites serotonin dementia extent
ALZ,ALZ433,importance instructions retrieval cues senile dementia senile dementia categorized list different retrieval conditions structure retrieval structure list recall retrieval recall normal dementia senile dementia conditions list prepared pay potentials
ALZ,ALZ434,cholinergic system physostigmine alzheimers subcutaneous physostigmine geometric figures alzheimers remarkable minutes results evidence hypothesis cholinergic potentiation alzheimers possible important cholinergic system integration
ALZ,ALZ435,rapid eye sleep alzheimers dementia healthy individuals rapid eye sleep disorders alzheimers sleep mild severe dementia subjects probable alzheimers mild exclude time results sleep mild dementia none sleep mild subjects time total time severe night dementia results findings cautions sleep dementia geriatric populations
ALZ,ALZ436,parkinsons basalis concomitant alzheimers representative basalis meynert idiopathic parkinsons basalis parkinsons senile alzheimers neurofibrillary tangles neurons parkinsons less versus tests alzheimers
ALZ,ALZ437,severe neurological legal severe neurological legal questions laws physicians irreversible functions state law explicit regard legal courts physicians current litigation litigation severe neurological physicians legal authority problems criminal state supreme court
ALZ,ALZ438,motor dementia elderly senile dementia months electromyographic sporadic motor lateral sclerosis voluntary motor system pacific posterior lateral sclerosis dementia possible motor unitary hypothesis lateral sclerosis parkinsons alzheimers investigation motor dementia inquiry motor dysfunction evidence support hypothesis
ALZ,ALZ439,therapy dementia senile dementia results problems situation support specific strategy intervention helpful time
ALZ,ALZ44,emission senile dementia deoxy fluoro glucose fdg tracer glucose conjunction emission pet pet fdg vivo quantitation man normal senile dementia preliminary results senile dementia alzheimers elderly normal subjects significant diminution glucose sdat diminution metabolic cognitive results potential pet fdg normal dementia
ALZ,ALZ440,histopathological clot etiology intracerebral specimens intracerebral general pre malformations unknown intracerebral intraventricular clot specific etiology specific possible specific specimens time diagnostic
ALZ,ALZ441,alzheimers cytogenetic findings alzheimers normal due breakage individuals peripheral specimens cytogenetic staff end group underwent ct cultures deprived medium tc fragile minimum classified csg ctb csb results significant group total occurrence
ALZ,ALZ442,psychometric differentiation mild senile dementia ten psychological tests mild dementia alzheimers healthy social position healthy tests mental wechsler test fluency letters
ALZ,ALZ443,amnesia aminoalkyl oxo pyrrolidineacetamides pramiracetam dialkylaminoalkyl oxo pyrrolidineacetamides shock amnesia mice subsequent general test nervous system cns broadest methylethylamino ethyl dimethylpiperidinoethyl substituent dialkylamino substituent amnesia optimal methylethylaminoethyl pyrrolidineacetamide dialkylamino substituent preclinical toxicological name pramiracetam pramiracetam wide safety normal human open trial primary dementia pdd senile dementia alzheimers
ALZ,ALZ444,patterns glucose parkinsons ffluorodeoxyglucose method ffluorodeoxyglucose parkinsons normal subjects metabolic glucose parkinsonian bradykinesia mild dementia parkinsons parkinsons severe parietal hypometabolism alzheimers huntingtons hypometabolism glucose normal system metabolic process neurons parkinsonian
ALZ,ALZ445,senile dementia forty subjects senile dementia psychometric potential ct months entry subjects severe dementia mild many psychometric severe dementia ct subtest wechsler stage dementia year subjects
ALZ,ALZ446,term management parkinsons idiopathic parkinsons worse realistic future relatives levodopa significant therapy important questions progressive palsy effect dementia alzheimers degeneration senile tremor parkinsons therapy therapy assist amantadine anticholinergics drugs underlying condition parkinsons
ALZ,ALZ447,dementia diagnostic lattic relaxation times proton nuclear magnetic resonance elderly senile dementia sdat dementia mid results elderly values white matter dementia statistical correlation proton white matter mid potential results possible damage
ALZ,ALZ448,ct dementia today future ct senile dementia sdat sdat sulcal significant normal elderly ct cognitive indices sdat exclusion lesions computer methods technical hope future
ALZ,ALZ449,frontal syndromes senile dementias statistical group gerontopsychiatric mild severe dementia instruments psychological system correlations morphological statistical ct determinants frontal huckman width frontal fissure consistent frontal items symptomatology normal
ALZ,ALZ45,histocompatibility alzheimers preliminary preliminary alzheimers excess whereas different locus findings
ALZ,ALZ450,senile dementias nursing home residents nursing home residents different evidence values emotional incontinence evidence correlation single parameters somatic different correlation profiles emotional incontinence dementia subgroups
ALZ,ALZ451,cognitive disorders geriatric subjects many neurochemical choline monoamine oxidase senile dementia alzheimers sdat indices senile tangles many different techniques unsuccessful gerovital oxygen vasodilators hydergine much recent work techniques date precursors limited postsynaptic physostigmine hope future oral preparations piracetam recent influences membrane receptor future investigation
ALZ,ALZ452,social isolation elderly nursing home residents morbidity year residents geriatric nursing homes homes frg popn regard mental quality social contacts investigation direct findings excess mental syndromes nursing home residents homes home residents fewer social contacts less social contemporaries households little nursing homes homes observed significant statistical correction marital status implications findings geriatric
ALZ,ALZ453,downs serum csf ds progressive dementia transferrin prealbumin results obtained neurological igg ds serum csf serum level transferrin ds serum csf serum igm prealbumin normal ds serum csf evidence transudation csf intrathecal synthesis dementia ds
ALZ,ALZ454,presenile dementia neurological viewpoint dementia efforts terms diagnostics pictures easy dementia diagnostic therapeutical nihilism dementia inadequate hand invasive non invasive methods today computer laboratory tests methods findings significance mention rare diseases group panencephalitis refer jakob vitamin conditions dementia
ALZ,ALZ455,genetic osmotic huntingtons osmotic unmedicated subjects huntingtons individuals risk group normal subjects huntingtons alzheimers individuals osmotic red index index huntingtons group group huntingtons osmotic risk group subjects osmotic normal subjects group normal huntingtons individuals risk normal indices normal range huntingtons normal support hypothesis osmotic individuals risk huntington need genetic
ALZ,ALZ456,alzheimers dementia senile dementia middle basalis meynert locus caeruleus alzheimers senile neurofibrillary tangles alzheimers alzheimers slight extent alzheimers presenile dementia alzheimers senile dementia middle
ALZ,ALZ457,retrograde amnesia parkinsons retrograde amnesia parkinsons test remote results normal equal time illnesses ie huntingtons alzheimers diseases different amnesic disorders qualitative remote dementias amnesic syndromes
ALZ,ALZ458,seasonal human lumbar csf many humans year lumbar csf homovanillic hva hydroxyindoleacetic hiaa methoxy hydroxyphenyl glycol mhpg schizophrenia alzheimers hiaa mhpg
ALZ,ALZ459,monoamine alzheimers hydroxyphenylglycol mhpg hydroxy indoleacetic hiaa homovanillic hva lumbar csf senile alzheimers csf hva hiaa csf presenile subjects
ALZ,ALZ46,lateral sclerosis neutron results pd japanese manganese aluminum copper cns cns japanese japanese guam pd guam neutron results japanese japanese guam pd aluminum cns significant positive correlation aluminum manganese findings possible process metal soft interaction trivalent manganese cns cns diseases
ALZ,ALZ460,intralaminar neurochemical human midtemporal alzheimers normal intralaminar nontransmitter midtemporal normal individuals alzheimers normal choline acetylcholinesterase ache layers granular layers iv alzheimers outer middle layers matter whereas normal white matter patterns cholinergic alzheimers white matter pseudocholinesterase lactate dehydrogenase gamma aminobutyric gaba system normal much intralaminar glutamate decarboxylase level gaba cholinergic patterns alzheimers free different glutamic normal different gaba nontransmitter putative alzheimers findings microchemical alzheimers functional cholinergic input neocortical layers associative functions important
ALZ,ALZ461,human alzheimers senile dementia sdat human nervous utilized test possible human alzheimers human tangles induces fibrous gliosis filaments normal filaments infectious implant
ALZ,ALZ462,alzheimers possible roles illnesses personal alzheimers dementia race significant subjects contacts unusual dietary severe injury important associative premorbid demographic dementia evidence genetic factor excess dementia mental downs alzheimers
ALZ,ALZ463,structure dementia neocortex alzheimers treated micrococcal nuclease release linker diseases alzheimers picks alzheimers resistant salt release subjects results support hypothesis structure alzheimers
ALZ,ALZ464,recall dementia retrieval hypothesis senile dementia recall time recall letter results retrieval dementia processing stage
ALZ,ALZ465,dementia dementia prosperous suburban months progressive dementia year dementia vascular dementia different diagnostic support subspecialty identify progressive elderly risk deterioration prognostic
ALZ,ALZ466,mh findings locus ceruleus possible alzheimers cns peripheral normals methoxy hydroxyphenylglycol mhpg plasma subjects free weeks csf mhpg
ALZ,ALZ467,dementia pedigrees evidence transmission paternal lines
ALZ,ALZ468,neurofilament related techniques components neurofilament protein triplet neurofilament protein level filaments nm resistant extraction hot sodium sulfate mercaptoethanol covalent disulfide helical filaments alzheimers polyacrylamide techniques neurofilament sites uncovered extraction
ALZ,ALZ469,dna damage neurons damage nuclear dna damage evidence dna alzheimers parkinsons diseases dna repair mechanisms huntingtons dna likely effect process
ALZ,ALZ47,aluminum alzheimers dialysis aluminum nuclear human heavy heterochromatin euchromatin euchromatin euchromatin aluminum gram dna nuclear heterochromatin senile alzheimers nuclear preparations dialysis less aluminum whole fifteen times direct aluminum progressive neurofibrillary degeneration aluminum alzheimers normal cytoplasmic metal permitting aluminum dna
ALZ,ALZ470,related neuropsychological downs ds risk condition dementia alzheimers neuropsychological ds subjects retarded overall ds subjects scores general reflexes ds subjects findings support downs issues
ALZ,ALZ471,monoamine human method indolealkylamines neurological disorders methoxy dopa methoxy hydroxyphenylglycol dihydroxyphenylacetic hydroxyindoleacetic homovanillic human inexpensive rapid liquid electrochemical detector parkinsons decrement homovanillic methoxy dopa serotonin turnover hydroxyindoleacetic monoamine metabolites subarachnoid
ALZ,ALZ472,basalis meynert alzheimers pigment basalis meynert cytoplasmic rna alzheimers cytoplasmic rna extra alzheimers much alzheimers lipofuscin extent alzheimers cytoplasmic rna mechanisms pigment basalis meynert extreme degeneration alzheimers
ALZ,ALZ473,neurochemical types alzheimers alzheimers group cholinergic choline gamma aminobutyric somatostatin results th th cholinergic hippocampus somatostatin th th severe cholinergic noradrenaline gamma aminobutyric somatostatin overall group alzheimers support alzheimers process results alzheimers presenile dementia important respects
ALZ,ALZ474,glutamatergic innervation basalissubstantia innominata glutamatergic innervation basalissubstantia innominata uptake dependent release endogenous glutamate glutamatergic corticofugal input removal parietal modify parameters basalissubstantia innominata possess important glutamatergic innervation unknown innervation degeneration alzheimers cholinergic neurones sensitivity
ALZ,ALZ475,alzheimers current review alzheimers progressive cognitive level dementias etiology theories possible genetic exclusion dementia psychological definitive post mortem histological hallmarks neurofibrillary tangles management socialization support institutionalization resources
ALZ,ALZ476,serum vitamin dementia serum vitamin immunoassay subjects dementia subjects non dementia subjects dementia serum vitamin serum vitamin subjects dementia independent serum
ALZ,ALZ477,experiences voluntary nonverbal interaction elderly homes elderly nursing homes dependent nursing dementia institutional social work elderly voluntary client therapy reality orientation non verbal sensory training daily functions occupational therapy experiences verbal non verbal elderly results elderly confusion elderly voluntary
ALZ,ALZ478,hydroxylase hydroxylase dbh csf normal subjects serum dbh rd th th dbh csf subjects dbh senile dementia alzheimers sdat nmolesminml dementia mid nmolesminml nmolesminml serum dbh sdat prominent severe dementia severe dbh serum dbh csf sdat nmoleshml mid nmoleshml neurological diseases dementia nmoleshml dbh csf sdat less nervous dysfunction pathophysiology expectancy senile dementia alzheimers sdat
ALZ,ALZ479,patterns aphasic normal subjects normal subjects grammatical stimulus stimulus nouns adjectives paradigmatic adverbs elicit syntagmatic syntagmatic resistant deterioration dementia dementia paradigmatic due idiosyncratic normal subjects dementia anomic aphasics subjects mild dementia brocas aphasics fewer paradigmatic normals enough mechanisms idiosyncratic wernickes aphasics paradigmatic strategy due inability true metalinguistic ie strategy paradigmatic disruption mechanisms idiosyncratic
ALZ,ALZ48,histocompatibility pre senile dementia alzheimers interaction conventional infective hla locus hla conventional infective pre senile dementia alzheimers subject hla
ALZ,ALZ480,reversible dementia dementia cognitive dementia dementia retention mental speed occupational normal mental status discontinuation
ALZ,ALZ481,processing spatial sensitivity normal alzheimers functions senile dementia spatial sensitivity normal elderly subjects subjects time identify letters mask letter recognition spatial extent mask well time mask letter recognition equivalent normal tasks alzheimers functions peripheral ones
ALZ,ALZ482,dementia elderly dementia irreversible dementias dementia fifteen reversible dementias reversible dementia shorter prescription drugs severe dementia half diseases mental status reversible dementia normal coexistent diseases reversible irreversible dementia recognition dysfunction
ALZ,ALZ483,emission emission pet fluorodeoxyglucose fdg glucose means ct normal human metabolic sensory dysfunction ct metabolic patterns elderly fdg normal metabolic defects dementia parietal thalamus hypometabolic huntington interictal fdg hypometabolic zones onset partial zones normal ct future prospects
ALZ,ALZ484,cognitive parkinsons cognitive cognitive unmedicated parkinsons pd progressive dementias alzheimers untreated pd little cognitive pd specific cognitive findings boundaries cognitive
ALZ,ALZ485,correlations ct ct dementia sdat mid ct patterns group statistical ct findings normal subjects significant severe findings specific dementia eegs group ct correlation
ALZ,ALZ486,left early onset dementia dementia handedness handedness early onset group dementia alzheimers senile dementia
ALZ,ALZ487,hla alzheimers parkinsons possible senile dementia gene hla factor chido red glyoxalase senile dementia idiopathic parkinsons donors dementia parkinsons significant gene locus senile dementia rare locus risk less
ALZ,ALZ488,neural basalis innominata rhesus neurons basalis innominata ansa peduncularis cholinergic innervation neocortical projections parts neocortex neurons projections sensory motor parietal neurons input prepyriform orbitofrontal pole entorhinal position cholinergic relay neocortical direct way cholinergic input whereas cholinergic innervation cholinergic innervation neocortical
ALZ,ALZ489,intestinal immunoreactive intestinal lumbar csf neurological disorders rhesus human porcine column sephadex superfine evidence immunoreactive csf night lowest day lowest sclerosis severe injury significant dystonia parkinsons alzheimers neurons disorders findings important implications vasospasm subarachnoid
ALZ,ALZ49,membrane alzheimers width membrane alzheimers statistical process membrane significant alzheimers width membrane factor membrane
ALZ,ALZ490,exchanges kinetics alzheimers female alzheimers female range sces kinetics sensitivity cultures level sces significant rank sum test normal mitomycin mitotic index extent centromeres
ALZ,ALZ491,jakob intracerebral jakob white matter lateral walls hemisphere morphological findings jakob cores senile alzheimers
ALZ,ALZ492,ethical issues ethical problems elderly group wonders ways concomitant quality elderly dementia invasive recent thinking mental mind ethical problems huntingtons authoritarian relatives full
ALZ,ALZ493,morphological dementia parkinsons literature dementia parkinsonian mechanisms lewy neocortical lesions depletion cholinergic dopaminergic dementia depopulation dementia concomitant alzheimers different cognitive parkinsons
ALZ,ALZ494,basalis locus caeruleus alzheimers alzheimers neurons basalis meynert locus caeruleus severe basalis extent regions
ALZ,ALZ495,polymorphism dementia significant dementia
ALZ,ALZ496,geriatric many elderly needs state homes geropsychiatric multidisciplinary rehabilitation successful independent geriatric health system inappropriate state important mental health
ALZ,ALZ497,alzheimers many alzheimers stage process face specific problems onset mental health professionals alzheimers reactions make reestablish process mental health professionals specific problems work
ALZ,ALZ498,verbal fluency verbal different types verbal fluency lesions normal equation fluency index verbal subjects frontal lesions fluency scores verbal equation fluency subjects frontal lesions dements fluency verbal results fluency specific phenomenon frontal lesions deterioration dementia
ALZ,ALZ499,cognitive functional dementia impact functional elderly residents senile dementia alzheimers dementia dementia wechsler wechsler wms dementia significant group verbal iq iq wms quotient dementia full iq dementia wais wms subtest profiles significant cognitive functional functional dementia whereas dementia
ALZ,ALZ5,hippocampal free alzheimers free hippocampus alzheimers normal significant aminobutyric glutamic interpreted hippocampus tendency group statistical significance consistent proteolytic alzheimers
ALZ,ALZ50,evaluations senile dementia alzheimers senile dementia alzheimers sdat ct consistent findings results due methods evaluations populations presumptive sdat cognitive test independent ct methods rank techniques significant equal correlations rank methods system single powerful cognitive sulci significance cognitive sdat
ALZ,ALZ500,flow flow values xe method dementia mid senile dementia sdat normal healthy hemispheric gray matter flow values mid sdat less normal normal flow values gradual declines less mid significant decreases values less flow values normals reductions middle mid flow values correlation reductions flow values dementia less flow reductions related process perfusion true sdat process pre flow reductions
ALZ,ALZ501,emission human structure vivo elderly human subjects significant sulcal related emission glucose metabolic results normal metabolic correlations metabolic significant respect significant structure
ALZ,ALZ502,dementia elderly guidelines dementia emphasis alzheimers
ALZ,ALZ503,lithium increases red choline dementia rbc choline senile dementia sdat lithium sdat doses weeks tests intervals serum developed neurotoxicity serum scores dramatic increases choline rbc choline sdat
ALZ,ALZ504,normal influences hemodynamic flow gray matter normal xe flow values frontal gray matter csf lumbar puncture normal less complications flow gray matter removal csf normal oxygen normal csf removal flow normal
